site,elevation_m,rho_r,f,k,ci_profile,makespan_h,IT_energy_kWh,facility_energy_kWh,run_PUE,carbon_kg,carbon_t
Beijing,35.4,0.996605913780471,0.9,4,coal,3.7431,1254.4,1419.13,1.13132,1031.5,1.0315
Beijing,35.4,0.996605913780471,0.9,8,qinghai,3.6823,1274.84,1442.26,1.13133,177.4,0.1774
Beijing,35.4,0.996605913780471,0.9,8,coal,3.6823,1274.84,1442.26,1.13133,1048.2,1.0482
Beijing,35.4,0.996605913780471,0.9,16,qinghai,3.648,1284.67,1453.38,1.13133,178.8,0.1788
Beijing,35.4,0.996605913780471,0.9,16,coal,3.648,1284.67,1453.38,1.13133,1056.1,1.0561
Beijing,35.4,0.996605913780471,0.9,32,qinghai,3.6299,1289.48,1458.82,1.13133,179.4,0.1794
Beijing,35.4,0.996605913780471,0.9,32,coal,3.6299,1289.48,1458.82,1.13133,1060.0,1.06
Beijing,35.4,0.996605913780471,0.9,64,qinghai,3.6206,1291.86,1461.52,1.13133,179.8,0.1798
Beijing,35.4,0.996605913780471,0.9,64,coal,3.6206,1291.86,1461.52,1.13133,1062.0,1.062
Beijing,35.4,0.996605913780471,0.96,1,qinghai,3.8889,1109.33,1250.83,1.12755,153.9,0.1539
Beijing,35.4,0.996605913780471,0.96,1,coal,3.8889,1109.33,1250.83,1.12755,909.5,0.9095
Beijing,35.4,0.996605913780471,0.96,2,qinghai,3.8333,1210.31,1364.69,1.12756,167.9,0.1679
Beijing,35.4,0.996605913780471,0.96,2,coal,3.8333,1210.31,1364.69,1.12756,992.2,0.9922
Beijing,35.4,0.996605913780471,0.96,4,qinghai,3.7431,1254.4,1414.41,1.12756,174.0,0.174
Beijing,35.4,0.996605913780471,0.96,4,coal,3.7431,1254.4,1414.41,1.12756,1028.1,1.0281
Beijing,35.4,0.996605913780471,0.96,8,qinghai,3.6823,1274.84,1437.46,1.12756,176.8,0.1768
Beijing,35.4,0.996605913780471,0.96,8,coal,3.6823,1274.84,1437.46,1.12756,1044.7,1.0447
Beijing,35.4,0.996605913780471,0.96,16,qinghai,3.648,1284.67,1448.54,1.12756,178.2,0.1782
Beijing,35.4,0.996605913780471,0.96,16,coal,3.648,1284.67,1448.54,1.12756,1052.6,1.0526
Beijing,35.4,0.996605913780471,0.96,32,qinghai,3.6299,1289.48,1453.97,1.12756,178.8,0.1788
Beijing,35.4,0.996605913780471,0.96,32,coal,3.6299,1289.48,1453.97,1.12756,1056.5,1.0565
Beijing,35.4,0.996605913780471,0.96,64,qinghai,3.6206,1291.86,1456.65,1.12756,179.2,0.1792
Beijing,35.4,0.996605913780471,0.96,64,coal,3.6206,1291.86,1456.65,1.12756,1058.4,1.0584
Beijing,35.4,0.996605913780471,1.0,1,qinghai,3.8889,1109.33,1248.06,1.12505,153.6,0.1536
Beijing,35.4,0.996605913780471,1.0,1,coal,3.8889,1109.33,1248.06,1.12505,907.5,0.9075
Beijing,35.4,0.996605913780471,1.0,2,qinghai,3.8333,1210.31,1361.66,1.12505,167.5,0.1675
Beijing,35.4,0.996605913780471,1.0,2,coal,3.8333,1210.31,1361.66,1.12505,990.0,0.99
Beijing,35.4,0.996605913780471,1.0,4,qinghai,3.7431,1254.4,1411.26,1.12505,173.6,0.1736
Beijing,35.4,0.996605913780471,1.0,4,coal,3.7431,1254.4,1411.26,1.12505,1025.8,1.0258
Beijing,35.4,0.996605913780471,1.0,8,qinghai,3.6823,1274.84,1434.27,1.12505,176.4,0.1764
Beijing,35.4,0.996605913780471,1.0,8,coal,3.6823,1274.84,1434.27,1.12505,1042.3,1.0423
Beijing,35.4,0.996605913780471,1.0,16,qinghai,3.648,1284.67,1445.32,1.12505,177.8,0.1778
Beijing,35.4,0.996605913780471,1.0,16,coal,3.648,1284.67,1445.32,1.12505,1050.3,1.0503
Beijing,35.4,0.996605913780471,1.0,32,qinghai,3.6299,1289.48,1450.73,1.12505,178.4,0.1784
Beijing,35.4,0.996605913780471,1.0,32,coal,3.6299,1289.48,1450.73,1.12505,1054.1,1.0541
Beijing,35.4,0.996605913780471,1.0,64,qinghai,3.6206,1291.86,1453.41,1.12505,178.8,0.1788
Beijing,35.4,0.996605913780471,1.0,64,coal,3.6206,1291.86,1453.41,1.12505,1056.1,1.0561
Shanghai,3.0,0.9997120231217516,0.6,1,qinghai,3.8889,1109.33,1281.15,1.15489,157.6,0.1576
Shanghai,3.0,0.9997120231217516,0.6,1,coal,3.8889,1109.33,1281.15,1.15489,931.6,0.9316
Shanghai,3.0,0.9997120231217516,0.6,2,qinghai,3.8333,1210.31,1397.78,1.15489,172.0,0.172
Shanghai,3.0,0.9997120231217516,0.6,2,coal,3.8333,1210.31,1397.78,1.15489,1016.2,1.0162
Shanghai,3.0,0.9997120231217516,0.6,4,qinghai,3.7431,1254.4,1448.71,1.15491,178.2,0.1782
Shanghai,3.0,0.9997120231217516,0.6,4,coal,3.7431,1254.4,1448.71,1.15491,1053.0,1.053
Shanghai,3.0,0.9997120231217516,0.6,8,qinghai,3.6823,1274.84,1472.34,1.15492,181.1,0.1811
Shanghai,3.0,0.9997120231217516,0.6,8,coal,3.6823,1274.84,1472.34,1.15492,1070.0,1.07
Shanghai,3.0,0.9997120231217516,0.6,16,qinghai,3.648,1284.67,1483.69,1.15492,182.5,0.1825
Shanghai,3.0,0.9997120231217516,0.6,16,coal,3.648,1284.67,1483.69,1.15492,1078.2,1.0782
Shanghai,3.0,0.9997120231217516,0.6,32,qinghai,3.6299,1289.48,1489.25,1.15492,183.2,0.1832
Shanghai,3.0,0.9997120231217516,0.6,32,coal,3.6299,1289.48,1489.25,1.15492,1082.1,1.0821
Shanghai,3.0,0.9997120231217516,0.6,64,qinghai,3.6206,1291.86,1492.0,1.15493,183.5,0.1835
Shanghai,3.0,0.9997120231217516,0.6,64,coal,3.6206,1291.86,1492.0,1.15493,1084.1,1.0841
Shanghai,3.0,0.9997120231217516,0.8,1,qinghai,3.8889,1109.33,1264.58,1.13994,155.6,0.1556
Shanghai,3.0,0.9997120231217516,0.8,1,coal,3.8889,1109.33,1264.58,1.13994,919.5,0.9195
Shanghai,3.0,0.9997120231217516,0.8,2,qinghai,3.8333,1210.31,1379.69,1.13995,169.7,0.1697
Shanghai,3.0,0.9997120231217516,0.8,2,coal,3.8333,1210.31,1379.69,1.13995,1003.1,1.0031
Shanghai,3.0,0.9997120231217516,0.8,4,qinghai,3.7431,1254.4,1429.96,1.13996,175.9,0.1759
Shanghai,3.0,0.9997120231217516,0.8,4,coal,3.7431,1254.4,1429.96,1.13996,1039.4,1.0394
Shanghai,3.0,0.9997120231217516,0.8,8,qinghai,3.6823,1274.84,1453.27,1.13996,178.8,0.1788
Shanghai,3.0,0.9997120231217516,0.8,8,coal,3.6823,1274.84,1453.27,1.13996,1056.2,1.0562
Shanghai,3.0,0.9997120231217516,0.8,16,qinghai,3.648,1284.67,1464.47,1.13996,180.1,0.1801
Shanghai,3.0,0.9997120231217516,0.8,16,coal,3.648,1284.67,1464.47,1.13996,1064.2,1.0642
Shanghai,3.0,0.9997120231217516,0.8,32,qinghai,3.6299,1289.48,1469.96,1.13996,180.8,0.1808
Shanghai,3.0,0.9997120231217516,0.8,32,coal,3.6299,1289.48,1469.96,1.13996,1068.1,1.0681
Shanghai,3.0,0.9997120231217516,0.8,64,qinghai,3.6206,1291.86,1472.67,1.13996,181.1,0.1811
Shanghai,3.0,0.9997120231217516,0.8,64,coal,3.6206,1291.86,1472.67,1.13996,1070.1,1.0701
Shanghai,3.0,0.9997120231217516,0.9,1,qinghai,3.8889,1109.33,1256.29,1.13247,154.6,0.1546
Shanghai,3.0,0.9997120231217516,0.9,1,coal,3.8889,1109.33,1256.29,1.13247,913.5,0.9135
Shanghai,3.0,0.9997120231217516,0.9,2,qinghai,3.8333,1210.31,1370.65,1.13248,168.6,0.1686
Shanghai,3.0,0.9997120231217516,0.9,2,coal,3.8333,1210.31,1370.65,1.13248,996.5,0.9965
